row_id,Consumer,Product,split,Liking,overall_visual_match,overall_visual_match_missing,color_pinkness_match,color_pinkness_match_missing,fat_lean_appearance_match,fat_lean_appearance_match_missing,surface_moisture_shine_match,surface_moisture_shine_match_missing,slice_structure_homogeneity_match,slice_structure_homogeneity_match_missing,overall_texture_match,overall_texture_match_missing,tenderness_softness_match,tenderness_softness_match_missing,firmness_rubberiness_match,firmness_rubberiness_match_missing,dryness_juiciness_match,dryness_juiciness_match_missing,fibrous_stringy_pieces_match,fibrous_stringy_pieces_match_missing,thickness_chew_match,thickness_chew_match_missing,overall_flavor_match,overall_flavor_match_missing,saltiness_match,saltiness_match_missing,ham_taste_match,ham_taste_match_missing,aromatic_smoky_spiced_match,aromatic_smoky_spiced_match_missing,bland_insipid_intensity_match,bland_insipid_intensity_match_missing,offnote_aftertaste_match,offnote_aftertaste_match_missing
12,H003,J26,train,7.48,5.0,0,4.0,0,6.0,0,3.5,1,5.0,0,6.0,0,6.0,0,3.5,1,6.0,0,3.5,1,5.0,0,5.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
13,H003,J32,train,5.89,4.0,0,3.0,0,6.0,0,3.5,1,3.5,1,2.0,0,2.0,0,3.5,1,2.0,0,3.5,1,3.5,1,5.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
14,H004,J01,train,9.88,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1,3.0,0,3.0,0,3.5,1,3.5,1,3.5,1,2.0,0,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,6.0,0
15,H004,J02,train,7.52,3.0,0,3.0,0,2.0,0,3.5,1,2.0,0,4.0,0,3.5,1,3.5,1,3.5,1,3.5,1,5.0,0,2.0,0,3.5,1,2.0,0,3.5,1,2.0,0,2.0,0
16,H004,J09,train,7.73,1.0,0,2.0,0,3.5,1,3.5,1,3.5,1,2.0,0,3.5,1,3.5,1,3.5,1,3.5,1,1.0,0,4.0,0,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
17,H004,J10,train,6.92,2.0,0,6.0,0,3.5,1,3.5,1,2.0,0,3.0,0,3.5,1,3.5,1,3.5,1,3.5,1,2.0,0,5.0,0,6.0,0,5.0,0,3.5,1,6.0,0,3.5,1
18,H004,J15,train,9.78,4.0,0,6.0,0,3.5,1,3.5,1,3.0,0,3.0,0,3.0,0,3.5,1,3.5,1,3.5,1,2.0,0,5.0,0,6.0,0,5.0,0,3.5,1,6.0,0,3.5,1
19,H004,J17,train,9.94,5.0,0,5.0,0,3.5,1,3.5,1,3.5,1,3.0,0,3.0,0,3.5,1,3.5,1,3.5,1,2.0,0,4.0,0,3.5,1,4.0,0,4.0,0,5.0,0,3.5,1
20,H004,J30,train,10.0,6.0,0,5.0,0,3.5,1,3.5,1,4.0,0,4.0,0,3.5,1,3.5,1,3.5,1,3.5,1,3.0,0,5.0,0,3.5,1,5.0,0,3.5,1,3.5,1,3.5,1
21,H004,J31,train,9.22,5.0,0,6.0,0,3.5,1,3.5,1,5.0,0,2.0,0,2.0,0,3.5,1,3.5,1,3.5,1,1.0,0,5.0,0,3.5,1,6.0,0,3.5,1,3.5,1,3.5,1
22,H005,J05,train,6.65,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
23,H005,J28,train,9.37,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
24,H006,J02,holdout,8.34,2.0,0,2.0,0,3.5,1,3.5,1,3.5,1,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
25,H006,J09,holdout,7.07,4.0,0,4.0,0,5.0,0,3.5,1,3.5,1,6.0,0,3.5,1,6.0,0,3.5,1,3.5,1,3.5,1,4.0,0,4.0,0,3.5,1,3.5,1,3.5,1,3.5,1
26,H006,J15,holdout,6.59,3.0,0,3.0,0,5.0,0,3.5,1,3.5,1,2.0,0,3.5,1,2.0,0,3.5,1,2.0,0,3.5,1,4.0,0,4.0,0,3.5,1,3.5,1,3.5,1,3.5,1
27,H006,J23,holdout,5.45,3.0,0,5.0,0,2.0,0,3.5,1,3.5,1,2.0,0,3.5,1,2.0,0,2.0,0,3.5,1,3.5,1,3.0,0,5.0,0,3.0,0,3.0,0,3.0,0,3.5,1
28,H006,J26,holdout,9.25,6.0,0,6.0,0,5.0,0,3.5,1,5.0,0,4.0,0,3.5,1,4.0,0,3.5,1,3.5,1,3.5,1,5.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1
29,H006,J29,holdout,9.37,3.0,0,4.0,0,2.0,0,3.5,1,3.5,1,5.0,0,3.5,1,5.0,0,3.5,1,3.5,1,3.5,1,3.0,0,3.5,1,3.5,1,2.0,0,3.5,1,3.5,1
30,H007,J20,train,5.96,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
31,H007,J21,train,2.76,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
32,H007,J23,train,3.43,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
33,H007,J26,train,9.19,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
34,H008,J01,holdout,8.38,5.0,0,3.5,1,6.0,0,3.5,1,3.5,1,5.0,0,4.0,0,6.0,0,3.5,1,3.5,1,3.5,1,5.0,0,6.0,0,4.0,0,3.5,1,4.0,0,3.5,1
35,H008,J02,holdout,6.44,2.0,0,3.5,1,4.0,0,2.0,0,2.0,0,5.0,0,4.0,0,5.0,0,3.5,1,3.5,1,3.5,1,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,2.0,0
36,H008,J05,holdout,5.66,3.0,0,3.5,1,6.0,0,3.5,1,2.0,0,5.0,0,5.0,0,6.0,0,5.0,0,3.5,1,2.0,0,4.0,0,6.0,0,4.0,0,3.5,1,3.5,1,3.5,1
37,H008,J14,holdout,6.23,3.0,0,3.5,1,6.0,0,2.0,0,2.0,0,4.0,0,3.0,0,5.0,0,3.5,1,3.5,1,6.0,0,3.0,0,6.0,0,2.0,0,3.5,1,3.5,1,3.5,1
38,H008,J17,holdout,5.0,2.0,0,3.5,1,3.5,1,3.5,1,2.0,0,5.0,0,4.0,0,6.0,0,3.5,1,3.5,1,3.5,1,4.0,0,3.0,0,4.0,0,3.5,1,3.5,1,3.5,1
39,H008,J19,holdout,7.7,4.0,0,3.5,1,6.0,0,3.0,0,3.5,1,4.0,0,4.0,0,3.0,0,3.0,0,3.5,1,6.0,0,5.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1
40,H008,J20,holdout,7.37,5.0,0,3.5,1,6.0,0,4.0,0,3.5,1,4.0,0,5.0,0,3.0,0,3.5,1,3.5,1,3.5,1,5.0,0,6.0,0,4.0,0,3.5,1,3.5,1,3.5,1
41,H008,J23,holdout,8.13,2.0,0,3.5,1,3.0,0,3.5,1,2.0,0,5.0,0,5.0,0,5.0,0,3.5,1,3.5,1,3.5,1,4.0,0,3.0,0,5.0,0,3.5,1,3.5,1,3.5,1
42,H008,J30,holdout,9.31,5.0,0,3.5,1,6.0,0,5.0,0,3.5,1,6.0,0,6.0,0,6.0,0,5.0,0,3.5,1,3.5,1,5.0,0,6.0,0,5.0,0,3.5,1,3.5,1,3.5,1
43,H009,J01,holdout,3.92,4.0,0,6.0,0,3.5,1,3.5,1,3.5,1,2.0,0,2.0,0,2.0,0,3.0,0,3.5,1,2.0,0,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
44,H009,J15,holdout,4.02,3.0,0,3.0,0,2.0,0,3.5,1,3.5,1,3.0,0,4.0,0,3.5,1,2.0,0,3.5,1,3.5,1,4.0,0,3.0,0,5.0,0,3.5,1,3.5,1,3.5,1
45,H009,J20,holdout,7.33,5.0,0,5.0,0,6.0,0,3.5,1,3.5,1,4.0,0,5.0,0,5.0,0,3.0,0,3.5,1,6.0,0,5.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
46,H009,J23,holdout,7.69,5.0,0,3.5,1,3.5,1,3.5,1,3.5,1,6.0,0,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,4.0,0,6.0,0,3.0,0,3.5,1,3.0,0,3.5,1
47,H009,J25,holdout,3.72,2.0,0,4.0,0,2.0,0,3.5,1,2.0,0,2.0,0,2.0,0,2.0,0,4.0,0,3.5,1,2.0,0,2.0,0,5.0,0,2.0,0,3.5,1,2.0,0,3.5,1
48,H009,J26,holdout,7.74,6.0,0,6.0,0,6.0,0,6.0,0,6.0,0,5.0,0,5.0,0,5.0,0,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
49,H010,J01,train,1.97,4.0,0,6.0,0,5.0,0,3.5,1,5.0,0,1.0,0,1.0,0,2.0,0,1.0,0,3.5,1,3.5,1,1.0,0,3.5,1,1.0,0,3.5,1,1.0,0,3.5,1
50,H010,J10,train,3.9,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,2.0,0,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,4.0,0,3.0,0,5.0,0,3.5,1,3.5,1,3.5,1
51,H010,J20,train,5.01,4.0,0,3.0,0,3.5,1,3.5,1,3.5,1,4.0,0,4.0,0,3.5,1,5.0,0,3.5,1,3.5,1,5.0,0,3.5,1,5.0,0,3.5,1,3.5,1,3.5,1
52,H010,J21,train,5.87,5.0,0,4.0,0,3.5,1,3.5,1,3.5,1,6.0,0,6.0,0,3.5,1,5.0,0,3.5,1,3.5,1,5.0,0,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
53,H010,J23,train,2.38,1.0,0,1.0,0,4.0,0,3.5,1,3.5,1,1.0,0,1.0,0,2.0,0,3.5,1,3.5,1,3.5,1,1.0,0,3.5,1,1.0,0,3.5,1,1.0,0,3.5,1
54,H010,J26,train,3.38,4.0,0,4.0,0,2.0,0,3.5,1,2.0,0,2.0,0,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,4.0,0,3.5,1,4.0,0,3.5,1,3.0,0,3.5,1
55,H010,J28,train,4.24,5.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.0,0,3.0,0,3.5,1,3.5,1,3.5,1,3.5,1,4.0,0,3.5,1,5.0,0,3.5,1,3.5,1,3.5,1
56,H010,J29,train,3.56,4.0,0,3.0,0,3.0,0,3.5,1,3.0,0,5.0,0,5.0,0,5.0,0,6.0,0,3.5,1,3.5,1,3.0,0,3.0,0,3.0,0,3.5,1,3.0,0,3.5,1
57,H012,J03,train,5.42,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
58,H012,J19,train,8.59,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
59,H012,J22,train,8.59,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
60,H012,J23,train,1.87,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
61,H012,J28,train,6.37,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
62,H012,J30,train,6.47,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
63,H012,J31,train,5.2,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
64,H013,J05,train,7.4,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,6.0,0,6.0,0,3.5,1,6.0,0,3.5,1,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
65,H013,J19,train,7.77,5.0,0,3.5,1,6.0,0,3.5,1,3.5,1,6.0,0,6.0,0,3.5,1,6.0,0,3.5,1,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
66,H013,J20,train,6.32,5.0,0,5.0,0,5.0,0,3.5,1,3.5,1,5.0,0,5.0,0,3.5,1,6.0,0,3.5,1,3.5,1,4.0,0,6.0,0,3.0,0,3.5,1,3.0,0,3.5,1
67,H013,J25,train,5.78,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,5.0,0,6.0,0,3.5,1,6.0,0,3.5,1,3.5,1,3.0,0,6.0,0,2.0,0,3.5,1,2.0,0,3.5,1
68,H018,J01,holdout,8.47,2.0,0,1.0,0,3.0,0,3.5,1,3.5,1,3.0,0,4.0,0,3.0,0,3.5,1,3.5,1,3.0,0,5.0,0,6.0,0,4.0,0,6.0,0,3.5,1,3.5,1
69,H018,J09,holdout,7.64,4.0,0,6.0,0,3.5,1,3.5,1,2.0,0,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,2.0,0,3.0,0,3.5,1,4.0,0,2.0,0,3.5,1,3.5,1
70,H018,J19,holdout,4.63,2.0,0,1.0,0,3.0,0,3.5,1,3.5,1,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,3.0,0,2.0,0,4.0,0,3.5,1,2.0,0,3.5,1,3.5,1
71,H018,J20,holdout,4.56,2.0,0,1.0,0,2.0,0,3.5,1,3.5,1,3.0,0,3.0,0,3.0,0,3.5,1,3.5,1,2.0,0,2.0,0,3.5,1,2.0,0,3.5,1,2.0,0,3.5,1
72,H018,J23,holdout,6.49,2.0,0,1.0,0,1.0,0,3.5,1,3.5,1,2.0,0,3.0,0,2.0,0,3.5,1,3.5,1,2.0,0,4.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1
73,H018,J26,holdout,8.23,4.0,0,3.0,0,6.0,0,3.5,1,3.5,1,5.0,0,4.0,0,5.0,0,3.5,1,3.5,1,6.0,0,5.0,0,6.0,0,5.0,0,5.0,0,6.0,0,3.5,1
74,H018,J29,holdout,4.81,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,3.0,0,3.0,0,3.0,0,3.5,1,3.5,1,4.0,0,3.0,0,6.0,0,2.0,0,5.0,0,3.0,0,3.5,1
75,H018,J30,holdout,7.82,2.0,0,2.0,0,3.5,1,3.5,1,3.0,0,2.0,0,3.0,0,2.0,0,3.5,1,3.5,1,2.0,0,4.0,0,4.0,0,4.0,0,4.0,0,3.5,1,3.5,1
76,H018,J31,holdout,8.34,3.0,0,2.0,0,3.5,1,3.5,1,3.5,1,5.0,0,5.0,0,6.0,0,3.5,1,3.5,1,3.5,1,5.0,0,6.0,0,4.0,0,5.0,0,3.5,1,3.5,1
77,H020,J01,train,9.53,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1,5.0,0,6.0,0,6.0,0,4.0,0,3.5,1,3.5,1
78,H020,J02,train,10.0,5.0,0,3.5,1,6.0,0,3.5,1,4.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1,5.0,0,6.0,0,3.5,1,4.0,0,3.5,1,6.0,0
79,H020,J03,train,10.0,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1,6.0,0,6.0,0,6.0,0,5.0,0,3.5,1,3.5,1
80,H020,J10,train,8.78,5.0,0,3.5,1,6.0,0,3.5,1,4.0,0,5.0,0,5.0,0,3.5,1,3.5,1,6.0,0,3.5,1,4.0,0,3.0,0,3.5,1,5.0,0,3.5,1,3.5,1
81,H020,J15,train,5.5,2.0,0,2.0,0,2.0,0,3.5,1,2.0,0,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,3.5,1,2.0,0,2.0,0,2.0,0,3.0,0,2.0,0,3.5,1
82,H020,J20,train,5.52,4.0,0,6.0,0,3.0,0,3.5,1,3.0,0,2.0,0,2.0,0,3.5,1,3.5,1,2.0,0,3.5,1,2.0,0,2.0,0,3.5,1,3.0,0,2.0,0,3.5,1
83,H020,J21,train,9.49,5.0,0,3.5,1,3.0,0,3.5,1,3.0,0,4.0,0,4.0,0,4.0,0,3.5,1,6.0,0,3.5,1,5.0,0,6.0,0,3.5,1,4.0,0,3.5,1,3.5,1
84,H020,J23,train,7.16,4.0,0,5.0,0,3.0,0,3.5,1,4.0,0,4.0,0,4.0,0,3.0,0,3.5,1,3.5,1,3.5,1,4.0,0,2.0,0,3.5,1,4.0,0,3.5,1,3.5,1
85,H020,J26,train,8.12,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1,4.0,0,3.0,0,3.5,1,6.0,0,3.5,1,3.5,1
86,H020,J27,train,9.6,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1,6.0,0,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1
87,H020,J28,train,9.25,5.0,0,6.0,0,4.0,0,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1,5.0,0,3.5,1,3.5,1,5.0,0,3.5,1,3.5,1
88,H020,J29,train,5.41,3.0,0,3.0,0,6.0,0,3.5,1,2.0,0,2.0,0,2.0,0,3.5,1,2.0,0,3.5,1,3.5,1,5.0,0,6.0,0,3.5,1,5.0,0,3.5,1,3.5,1
89,H020,J30,train,8.89,4.0,0,3.0,0,6.0,0,3.5,1,5.0,0,6.0,0,6.0,0,3.5,1,3.5,1,6.0,0,3.5,1,4.0,0,2.0,0,3.5,1,5.0,0,3.5,1,3.5,1
90,H020,J31,train,9.62,4.0,0,3.5,1,6.0,0,3.5,1,3.0,0,6.0,0,6.0,0,3.5,1,3.5,1,6.0,0,3.5,1,6.0,0,6.0,0,6.0,0,5.0,0,3.5,1,3.5,1
91,H021,J06,train,7.17,4.0,0,6.0,0,3.5,1,3.5,1,3.0,0,5.0,0,4.0,0,5.0,0,3.0,0,3.5,1,5.0,0,2.0,0,6.0,0,3.5,1,2.0,0,3.5,1,3.5,1
92,H021,J10,train,5.43,2.0,0,2.0,0,3.5,1,3.5,1,3.5,1,2.0,0,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,5.0,0,6.0,0,3.5,1,5.0,0,3.5,1,5.0,0
93,H021,J26,train,7.2,4.0,0,4.0,0,3.5,1,3.5,1,5.0,0,6.0,0,6.0,0,3.5,1,3.0,0,3.5,1,5.0,0,5.0,0,6.0,0,3.5,1,6.0,0,3.5,1,3.5,1
94,H021,J27,train,3.27,2.0,0,1.0,0,3.5,1,3.5,1,3.5,1,4.0,0,3.0,0,3.0,0,2.0,0,3.5,1,4.0,0,2.0,0,3.0,0,3.5,1,1.0,0,3.5,1,3.5,1
95,H022,J14,train,9.17,3.0,0,3.5,1,3.5,1,3.5,1,2.0,0,3.0,0,3.0,0,3.5,1,3.5,1,3.5,1,2.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1
96,H022,J15,train,4.61,4.0,0,3.5,1,1.0,0,3.5,1,1.0,0,1.0,0,1.0,0,3.5,1,3.5,1,3.5,1,4.0,0,2.0,0,2.0,0,3.5,1,3.5,1,3.5,1,3.5,1
97,H022,J16,train,2.32,1.0,0,3.5,1,1.0,0,3.5,1,1.0,0,1.0,0,1.0,0,3.5,1,3.5,1,3.5,1,1.0,0,1.0,0,1.0,0,3.5,1,3.5,1,3.5,1,3.5,1
98,H022,J17,train,8.27,5.0,0,3.5,1,3.5,1,3.5,1,3.5,1,5.0,0,5.0,0,6.0,0,3.5,1,3.5,1,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1,3.5,1
99,H023,J10,train,6.87,2.0,0,3.0,0,2.0,0,2.0,0,2.0,0,6.0,0,6.0,0,6.0,0,3.5,1,6.0,0,4.0,0,3.0,0,6.0,0,3.0,0,3.5,1,3.0,0,3.5,1
100,H023,J19,train,0.29,1.0,0,2.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,3.5,1,3.5,1,1.0,0,3.5,1,2.0,0,3.5,1,3.5,1,1.0,0
101,H023,J28,train,8.57,3.0,0,6.0,0,2.0,0,2.0,0,2.0,0,5.0,0,6.0,0,4.0,0,2.0,0,3.5,1,3.5,1,4.0,0,3.0,0,6.0,0,3.0,0,3.5,1,3.5,1
102,H023,J31,train,9.7,2.0,0,4.0,0,2.0,0,3.5,1,6.0,0,2.0,0,1.0,0,2.0,0,2.0,0,3.5,1,6.0,0,6.0,0,6.0,0,6.0,0,3.5,1,3.5,1,3.5,1
103,H028,J01,train,9.58,6.0,0,6.0,0,5.0,0,3.5,1,6.0,0,6.0,0,3.5,1,6.0,0,3.5,1,6.0,0,3.5,1,5.0,0,6.0,0,6.0,0,3.0,0,3.5,1,3.5,1
104,H028,J10,train,7.35,6.0,0,6.0,0,5.0,0,3.5,1,5.0,0,2.0,0,2.0,0,2.0,0,3.5,1,3.5,1,3.0,0,4.0,0,3.5,1,6.0,0,2.0,0,3.5,1,3.5,1
105,H028,J14,train,7.33,3.0,0,2.0,0,3.5,1,3.5,1,2.0,0,4.0,0,4.0,0,2.0,0,3.5,1,5.0,0,3.5,1,4.0,0,6.0,0,6.0,0,2.0,0,3.0,0,3.5,1
106,H028,J26,train,5.34,5.0,0,6.0,0,6.0,0,3.5,1,5.0,0,2.0,0,3.0,0,2.0,0,2.0,0,2.0,0,2.0,0,4.0,0,6.0,0,5.0,0,2.0,0,3.5,1,3.5,1
107,H029,J01,train,9.93,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
108,H029,J02,train,9.99,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
109,H029,J17,train,0.73,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
110,H029,J28,train,7.95,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1,3.5,1
111,H030,J01,train,5.89,2.0,0,3.5,1,2.0,0,3.5,1,2.0,0,2.0,0,2.0,0,3.5,1,2.0,0,3.5,1,3.5,1,2.0,0,2.0,0,3.5,1,2.0,0,3.5,1,3.5,1
