row_id,Consumer,Product,Liking,parse_error,overall_visual_match,color_pinkness_match,fat_lean_appearance_match,surface_moisture_shine_match,slice_structure_homogeneity_match,overall_texture_match,tenderness_softness_match,firmness_rubberiness_match,dryness_juiciness_match,fibrous_stringy_pieces_match,thickness_chew_match,overall_flavor_match,saltiness_match,ham_taste_match,aromatic_smoky_spiced_match,bland_insipid_intensity_match,offnote_aftertaste_match
61,H012,J28,6.37,,,,,,,,,,,,,,,,,,
62,H012,J30,6.47,,,,,,,,,,,,,,,,,,
63,H012,J31,5.2,,,,,,,,,,,,,,,,,,
64,H013,J05,7.4,,6.0,6.0,6.0,,,6.0,6.0,,6.0,,,6.0,6.0,6.0,,,
65,H013,J19,7.77,,5.0,,6.0,,,6.0,6.0,,6.0,,,6.0,6.0,6.0,,,
66,H013,J20,6.32,,5.0,5.0,5.0,,,5.0,5.0,,6.0,,,4.0,6.0,3.0,,3.0,
67,H013,J25,5.78,,6.0,6.0,6.0,,,5.0,6.0,,6.0,,,3.0,6.0,2.0,,2.0,
68,H018,J01,8.47,,2.0,1.0,3.0,,,3.0,4.0,3.0,,,3.0,5.0,6.0,4.0,6.0,,
69,H018,J09,7.64,,4.0,6.0,,,2.0,2.0,2.0,2.0,,,2.0,3.0,,4.0,2.0,,
70,H018,J19,4.63,,2.0,1.0,3.0,,,2.0,2.0,2.0,,,3.0,2.0,4.0,,2.0,,
71,H018,J20,4.56,,2.0,1.0,2.0,,,3.0,3.0,3.0,,,2.0,2.0,,2.0,,2.0,
72,H018,J23,6.49,,2.0,1.0,1.0,,,2.0,3.0,2.0,,,2.0,4.0,6.0,,,,
73,H018,J26,8.23,,4.0,3.0,6.0,,,5.0,4.0,5.0,,,6.0,5.0,6.0,5.0,5.0,6.0,
74,H018,J29,4.81,,2.0,2.0,2.0,,,3.0,3.0,3.0,,,4.0,3.0,6.0,2.0,5.0,3.0,
75,H018,J30,7.82,,2.0,2.0,,,3.0,2.0,3.0,2.0,,,2.0,4.0,4.0,4.0,4.0,,
76,H018,J31,8.34,,3.0,2.0,,,,5.0,5.0,6.0,,,,5.0,6.0,4.0,5.0,,
77,H020,J01,9.53,,6.0,6.0,,,,6.0,6.0,,,,,5.0,6.0,6.0,4.0,,
78,H020,J02,10.0,,5.0,,6.0,,4.0,6.0,6.0,,,,,5.0,6.0,,4.0,,6.0
79,H020,J03,10.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,,,,6.0,6.0,6.0,5.0,,
80,H020,J10,8.78,,5.0,,6.0,,4.0,5.0,5.0,,,6.0,,4.0,3.0,,5.0,,
81,H020,J15,5.5,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,3.0,2.0,
82,H020,J20,5.52,,4.0,6.0,3.0,,3.0,2.0,2.0,,,2.0,,2.0,2.0,,3.0,2.0,
83,H020,J21,9.49,,5.0,,3.0,,3.0,4.0,4.0,4.0,,6.0,,5.0,6.0,,4.0,,
84,H020,J23,7.16,,4.0,5.0,3.0,,4.0,4.0,4.0,3.0,,,,4.0,2.0,,4.0,,
85,H020,J26,8.12,,6.0,6.0,6.0,,6.0,6.0,6.0,,,,,4.0,3.0,,6.0,,
86,H020,J27,9.6,,6.0,6.0,6.0,,6.0,6.0,6.0,,,,,6.0,6.0,6.0,6.0,,
87,H020,J28,9.25,,5.0,6.0,4.0,,6.0,6.0,6.0,,,,,5.0,,,5.0,,
88,H020,J29,5.41,,3.0,3.0,6.0,,2.0,2.0,2.0,,2.0,,,5.0,6.0,,5.0,,
89,H020,J30,8.89,,4.0,3.0,6.0,,5.0,6.0,6.0,,,6.0,,4.0,2.0,,5.0,,
90,H020,J31,9.62,,4.0,,6.0,,3.0,6.0,6.0,,,6.0,,6.0,6.0,6.0,5.0,,
91,H021,J06,7.17,,4.0,6.0,,,3.0,5.0,4.0,5.0,3.0,,5.0,2.0,6.0,,2.0,,
92,H021,J10,5.43,,2.0,2.0,,,,2.0,2.0,2.0,2.0,,,5.0,6.0,,5.0,,5.0
93,H021,J26,7.2,,4.0,4.0,,,5.0,6.0,6.0,,3.0,,5.0,5.0,6.0,,6.0,,
94,H021,J27,3.27,,2.0,1.0,,,,4.0,3.0,3.0,2.0,,4.0,2.0,3.0,,1.0,,
95,H022,J14,9.17,,3.0,,,,2.0,3.0,3.0,,,,2.0,6.0,6.0,,,,
96,H022,J15,4.61,,4.0,,1.0,,1.0,1.0,1.0,,,,4.0,2.0,2.0,,,,
97,H022,J16,2.32,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,
98,H022,J17,8.27,,5.0,,,,,5.0,5.0,6.0,,,6.0,6.0,6.0,,,,
99,H023,J10,6.87,,2.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,,6.0,4.0,3.0,6.0,3.0,,3.0,
100,H023,J19,0.29,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,1.0
101,H023,J28,8.57,,3.0,6.0,2.0,2.0,2.0,5.0,6.0,4.0,2.0,,,4.0,3.0,6.0,3.0,,
102,H023,J31,9.7,,2.0,4.0,2.0,,6.0,2.0,1.0,2.0,2.0,,6.0,6.0,6.0,6.0,,,
103,H028,J01,9.58,,6.0,6.0,5.0,,6.0,6.0,,6.0,,6.0,,5.0,6.0,6.0,3.0,,
104,H028,J10,7.35,,6.0,6.0,5.0,,5.0,2.0,2.0,2.0,,,3.0,4.0,,6.0,2.0,,
105,H028,J14,7.33,,3.0,2.0,,,2.0,4.0,4.0,2.0,,5.0,,4.0,6.0,6.0,2.0,3.0,
106,H028,J26,5.34,,5.0,6.0,6.0,,5.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,6.0,5.0,2.0,,
107,H029,J01,9.93,,,,,,,,,,,,,,,,,,
108,H029,J02,9.99,,,,,,,,,,,,,,,,,,
109,H029,J17,0.73,,,,,,,,,,,,,,,,,,
110,H029,J28,7.95,,,,,,,,,,,,,,,,,,
111,H030,J01,5.89,,2.0,,2.0,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,
112,H030,J02,9.84,,3.0,2.0,2.0,,6.0,5.0,5.0,,6.0,,,4.0,6.0,,3.0,,
113,H030,J10,9.98,,6.0,6.0,5.0,,5.0,6.0,6.0,,6.0,,,6.0,6.0,,6.0,,
114,H030,J26,9.08,,2.0,2.0,2.0,,2.0,5.0,5.0,,6.0,,,4.0,3.0,,2.0,,2.0
115,H030,J28,9.84,,6.0,6.0,6.0,,6.0,6.0,6.0,,6.0,,,6.0,6.0,,6.0,,
116,H030,J29,9.51,,6.0,6.0,5.0,,6.0,6.0,6.0,,6.0,,,4.0,6.0,,2.0,,
117,H030,J30,8.65,,3.0,2.0,5.0,,2.0,6.0,6.0,,6.0,,4.0,3.0,3.0,,3.0,4.0,
118,H030,J31,9.66,,6.0,6.0,6.0,,5.0,6.0,6.0,,6.0,,6.0,6.0,6.0,,6.0,,
119,H031,J02,8.61,,6.0,6.0,6.0,,,5.0,6.0,,,,,6.0,6.0,6.0,,,
120,H031,J10,2.21,,4.0,6.0,5.0,3.0,,2.0,2.0,2.0,2.0,,,2.0,5.0,2.0,,2.0,
121,H031,J17,6.21,,6.0,6.0,6.0,6.0,,5.0,6.0,,6.0,,,6.0,6.0,6.0,,,
122,H031,J20,5.28,,4.0,6.0,,,,2.0,2.0,,2.0,1.0,,2.0,5.0,2.0,,2.0,
123,H031,J21,5.21,,1.0,,1.0,2.0,2.0,2.0,,,2.0,,,4.0,3.0,5.0,,,
124,H031,J25,0.45,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,4.0,1.0,1.0,1.0,
125,H031,J28,3.07,,2.0,2.0,4.0,,2.0,2.0,3.0,2.0,,4.0,,2.0,5.0,2.0,,2.0,
126,H031,J31,8.56,,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,,,6.0,6.0,6.0,,,
127,H032,J10,9.01,,5.0,6.0,,,,3.0,,3.0,3.0,,,5.0,6.0,6.0,,,
128,H032,J20,9.15,,5.0,,6.0,,,3.0,,2.0,3.0,,,6.0,6.0,6.0,,,
129,H032,J21,8.03,,5.0,6.0,6.0,,5.0,4.0,5.0,3.0,5.0,,,5.0,6.0,6.0,,,
130,H032,J26,4.66,,4.0,5.0,3.0,,3.0,4.0,5.0,4.0,5.0,,,2.0,,2.0,,2.0,
131,H032,J28,9.31,,3.0,6.0,2.0,2.0,3.0,4.0,5.0,5.0,3.0,,,4.0,,5.0,,6.0,
132,H033,J02,5.8,,5.0,6.0,,,6.0,3.0,3.0,,4.0,,,4.0,2.0,5.0,,,
133,H033,J26,5.72,,3.0,,,,1.0,3.0,4.0,4.0,3.0,,,3.0,2.0,5.0,5.0,,
134,H033,J27,2.14,,5.0,,5.0,,6.0,2.0,,,3.0,,,1.0,1.0,1.0,,,
135,H033,J29,7.04,,3.0,,2.0,,2.0,4.0,,,5.0,,,5.0,6.0,6.0,6.0,,
136,H035,J01,9.93,,,,6.0,,6.0,4.0,4.0,,,,,6.0,6.0,,,,
137,H035,J10,10.0,,6.0,6.0,6.0,,,,,,,,,,6.0,,,,
138,H035,J20,9.33,,6.0,,6.0,,,4.0,4.0,,5.0,,,,6.0,,,,
139,H035,J23,2.76,,2.0,,2.0,2.0,,2.0,2.0,,2.0,,,2.0,4.0,1.0,,2.0,
140,H035,J25,4.98,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,
141,H035,J26,9.93,,5.0,,6.0,,6.0,4.0,,,,,,5.0,6.0,,,,
142,H035,J28,7.19,,2.0,2.0,2.0,,1.0,3.0,4.0,,,,,2.0,6.0,2.0,,2.0,
143,H035,J29,7.42,,6.0,6.0,6.0,,,2.0,2.0,,,,,4.0,3.0,,,,
144,H035,J30,10.0,,6.0,6.0,6.0,,,6.0,6.0,,,,,5.0,5.0,,,,
145,H037,J08,8.24,,5.0,6.0,6.0,,,5.0,6.0,6.0,,,,6.0,6.0,6.0,6.0,,
146,H037,J09,10.0,,4.0,3.0,6.0,,,6.0,6.0,5.0,,,,5.0,,,5.0,,
147,H037,J28,9.76,,6.0,6.0,6.0,,,5.0,6.0,6.0,,,,6.0,6.0,,6.0,,
148,H037,J29,8.8,,6.0,6.0,6.0,,,5.0,6.0,5.0,,,,6.0,6.0,6.0,6.0,,
149,H038,J01,4.45,,3.0,4.0,3.0,,2.0,2.0,2.0,,2.0,2.0,,4.0,3.0,5.0,,,
150,H038,J05,1.33,,2.0,2.0,2.0,2.0,,4.0,6.0,,3.0,1.0,,2.0,4.0,2.0,,2.0,1.0
151,H038,J17,5.23,,3.0,2.0,,,,4.0,5.0,,3.0,2.0,,3.0,2.0,6.0,,2.0,
152,H038,J20,8.5,,4.0,4.0,,3.0,5.0,2.0,2.0,2.0,1.0,2.0,,2.0,5.0,2.0,,2.0,
153,H038,J21,4.65,,3.0,3.0,4.0,,2.0,4.0,5.0,3.0,3.0,2.0,,2.0,,2.0,,2.0,
154,H038,J22,9.62,,6.0,6.0,6.0,,6.0,5.0,6.0,,6.0,3.0,,6.0,6.0,6.0,,6.0,
155,H038,J23,5.56,,3.0,2.0,4.0,4.0,,5.0,6.0,,6.0,2.0,,2.0,,2.0,,3.0,
156,H039,J01,8.37,,6.0,6.0,,,,5.0,5.0,,,,,5.0,,5.0,6.0,,
157,H039,J02,9.38,,6.0,6.0,,,,6.0,6.0,,,,,5.0,,,5.0,,2.0
158,H039,J03,8.98,,6.0,6.0,,,,6.0,6.0,,,,,5.0,,6.0,5.0,,3.0
159,H039,J09,2.53,,2.0,4.0,,,,2.0,2.0,,,,,3.0,,4.0,4.0,,2.0
160,H039,J10,9.38,,6.0,6.0,,,,6.0,6.0,,,,,5.0,6.0,6.0,4.0,,
161,H039,J15,6.94,,6.0,6.0,,,,5.0,6.0,,,,,4.0,3.0,6.0,4.0,,
162,H039,J17,8.14,,6.0,6.0,,,,6.0,6.0,,,,,6.0,6.0,6.0,5.0,,
163,H039,J21,9.21,,6.0,6.0,,,,6.0,6.0,,,,,5.0,,6.0,4.0,,
164,H039,J25,6.0,,6.0,6.0,,,,3.0,2.0,,,,,3.0,,3.0,,,
165,H039,J28,9.31,,6.0,6.0,,,,6.0,6.0,,,,,6.0,6.0,6.0,6.0,,
166,H039,J31,9.46,,6.0,6.0,,,,6.0,6.0,,,,,4.0,3.0,,5.0,,
167,H041,J01,7.84,,5.0,6.0,2.0,,,3.0,3.0,4.0,4.0,,2.0,4.0,,,3.0,,
168,H041,J02,6.21,,5.0,6.0,,,,4.0,5.0,5.0,5.0,,2.0,2.0,,1.0,2.0,1.0,
169,H041,J09,8.9,,4.0,2.0,,,3.0,3.0,,,4.0,,,4.0,6.0,,2.0,,
170,H041,J10,8.12,,5.0,,6.0,,,3.0,,,3.0,,,4.0,6.0,,2.0,,
171,H041,J23,5.03,,5.0,6.0,3.0,,,5.0,,,6.0,,,,,,,,
172,H041,J29,10.0,,6.0,6.0,,,,6.0,,,6.0,,6.0,6.0,6.0,6.0,6.0,,
173,H041,J30,7.04,,5.0,6.0,2.0,,,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0
174,H041,J31,8.89,,5.0,4.0,,,,4.0,4.0,,6.0,,,4.0,5.0,,2.0,,
175,H043,J01,5.31,,4.0,4.0,,,,2.0,2.0,,2.0,,,3.0,5.0,,,,
176,H043,J04,7.81,,2.0,,2.0,2.0,,6.0,6.0,,,,,5.0,6.0,,,,
177,H043,J05,5.17,,4.0,6.0,3.0,,,2.0,2.0,3.0,,,,4.0,5.0,,,,
178,H043,J10,8.58,,6.0,6.0,6.0,,6.0,6.0,6.0,,,,6.0,5.0,6.0,,,,
179,H043,J23,4.36,,1.0,,1.0,1.0,,6.0,6.0,,,,,1.0,1.0,,,2.0,
180,H043,J30,7.62,,4.0,6.0,6.0,2.0,,3.0,4.0,,2.0,,,,,,,,
181,H044,J01,2.45,,2.0,2.0,3.0,,2.0,2.0,2.0,2.0,,2.0,4.0,3.0,5.0,4.0,3.0,3.0,6.0
182,H044,J02,9.74,,3.0,4.0,3.0,,2.0,6.0,6.0,,,6.0,6.0,4.0,5.0,4.0,3.0,3.0,6.0
183,H044,J09,6.51,,1.0,1.0,6.0,,1.0,2.0,2.0,,,,6.0,4.0,,4.0,,3.0,
184,H044,J26,1.66,,2.0,2.0,2.0,,3.0,1.0,1.0,1.0,,2.0,,2.0,2.0,2.0,3.0,2.0,
185,H045,J01,6.71,,2.0,,1.0,,4.0,5.0,5.0,5.0,5.0,,2.0,4.0,6.0,3.0,5.0,3.0,
186,H045,J02,6.58,,2.0,,1.0,,2.0,5.0,6.0,6.0,,,2.0,4.0,6.0,5.0,6.0,,
187,H045,J17,1.34,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,
188,H045,J30,3.17,,1.0,,1.0,,2.0,5.0,5.0,6.0,,,2.0,2.0,6.0,2.0,1.0,,
189,H046,J15,3.84,,,,,,,,,,,,,,,,,,
190,H046,J30,7.59,,,,,,,,,,,,,,,,,,
191,H046,J31,4.78,,,,,,,,,,,,,,,,,,
192,H047,J01,6.74,,5.0,6.0,6.0,,1.0,2.0,5.0,,,1.0,,1.0,,,,1.0,
193,H047,J02,6.19,,2.0,2.0,2.0,,2.0,2.0,5.0,4.0,,1.0,4.0,1.0,2.0,,2.0,,
194,H047,J09,7.44,,4.0,5.0,6.0,3.0,,4.0,5.0,5.0,3.0,5.0,,3.0,6.0,3.0,,,
195,H047,J10,6.3,,5.0,6.0,6.0,,,5.0,6.0,,,6.0,6.0,4.0,4.0,,4.0,,
196,H047,J21,6.37,,3.0,4.0,3.0,,,2.0,4.0,2.0,,3.0,3.0,4.0,5.0,,4.0,,
197,H047,J22,6.7,,3.0,5.0,2.0,,,3.0,,3.0,,,,2.0,2.0,,,,
198,H047,J25,3.52,,2.0,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,,,1.0,,
199,H047,J29,8.24,,4.0,,3.0,,,5.0,6.0,,,5.0,,3.0,,,2.0,,
200,H049,J02,9.2,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0,,6.0,
201,H049,J10,8.06,,4.0,4.0,2.0,,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,
202,H049,J15,4.49,,2.0,4.0,1.0,1.0,1.0,5.0,6.0,,,,6.0,3.0,2.0,,,6.0,2.0
203,H049,J20,8.55,,2.0,2.0,2.0,,2.0,6.0,6.0,,,6.0,6.0,6.0,6.0,5.0,,6.0,
204,H049,J22,8.23,,4.0,3.0,6.0,6.0,4.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,,6.0,
205,H049,J31,9.42,,4.0,3.0,5.0,6.0,5.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,
206,H050,J01,1.64,,2.0,,1.0,,2.0,5.0,,,5.0,,,2.0,,2.0,,2.0,1.0
207,H050,J02,9.34,,4.0,6.0,3.0,,4.0,6.0,6.0,,6.0,,,6.0,,6.0,,,
208,H050,J03,6.16,,4.0,6.0,3.0,,3.0,6.0,,,6.0,,,3.0,,2.0,,,
209,H050,J09,7.06,,3.0,2.0,,,5.0,6.0,,,6.0,,,2.0,,2.0,2.0,,2.0
210,H050,J10,8.37,,5.0,,5.0,,,6.0,6.0,,6.0,,,4.0,,,,,
211,H050,J26,8.2,,3.0,,2.0,,4.0,4.0,5.0,,5.0,,,4.0,6.0,,,,
212,H050,J29,5.27,,3.0,,2.0,,4.0,3.0,,,2.0,,,2.0,,2.0,2.0,,
213,H052,J14,7.24,,4.0,6.0,,,2.0,5.0,6.0,,,,,4.0,6.0,,2.0,,
214,H052,J15,6.13,,4.0,5.0,,,2.0,3.0,4.0,2.0,,,3.0,2.0,,,1.0,,1.0
215,H052,J16,5.23,,1.0,,1.0,,1.0,5.0,6.0,,,,,1.0,1.0,,1.0,2.0,
216,H052,J19,6.21,,4.0,6.0,,3.0,,5.0,5.0,,,,,4.0,,,5.0,,
217,H052,J20,5.11,,3.0,,,,2.0,3.0,3.0,,,,,2.0,5.0,,2.0,2.0,
218,H052,J23,6.22,,4.0,6.0,3.0,,3.0,5.0,6.0,,,,,6.0,6.0,,6.0,,
219,H052,J25,6.68,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,3.0,,6.0,1.0,,
220,H054,J02,1.25,,2.0,2.0,,,,1.0,1.0,,1.0,,,2.0,4.0,2.0,,3.0,
221,H054,J06,7.25,,6.0,6.0,,,6.0,5.0,5.0,,,,,6.0,6.0,,,,
222,H054,J20,3.74,,3.0,2.0,,,5.0,2.0,2.0,,2.0,,,2.0,4.0,2.0,,2.0,
223,H054,J28,7.75,,5.0,,,,,5.0,6.0,,6.0,,,6.0,6.0,,,,
224,H056,J03,2.86,,2.0,2.0,2.0,,2.0,3.0,4.0,3.0,,4.0,3.0,5.0,,6.0,,,
225,H056,J09,7.03,,5.0,4.0,6.0,,6.0,6.0,6.0,6.0,,6.0,,6.0,,6.0,,,
226,H056,J10,5.57,,4.0,6.0,2.0,,2.0,5.0,6.0,6.0,,6.0,,3.0,5.0,3.0,,3.0,
227,H056,J20,5.38,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,4.0,5.0,5.0,,,2.0
228,H056,J21,6.45,,4.0,,3.0,,,4.0,5.0,,,,3.0,4.0,3.0,5.0,,,
229,H056,J28,8.1,,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,,,,6.0,6.0,6.0,,,
230,H056,J31,7.07,,4.0,6.0,2.0,,2.0,4.0,6.0,5.0,,,3.0,3.0,5.0,5.0,,,2.0
231,H057,J10,5.61,,3.0,2.0,6.0,,6.0,2.0,,,2.0,,,4.0,6.0,,,,
232,H057,J26,7.97,,4.0,6.0,5.0,,2.0,5.0,,,6.0,,,,,,,,
233,H057,J29,7.54,,6.0,6.0,6.0,,5.0,6.0,6.0,,6.0,6.0,,,5.0,,,,
234,H057,J30,5.52,,3.0,6.0,6.0,,2.0,4.0,,,6.0,6.0,,2.0,3.0,,,2.0,
235,H058,J14,9.0,,4.0,5.0,3.0,,4.0,5.0,5.0,,6.0,,5.0,5.0,5.0,5.0,,5.0,6.0
236,H058,J15,4.51,,1.0,,1.0,,1.0,2.0,2.0,,2.0,1.0,,4.0,6.0,,,,
237,H058,J19,3.99,,2.0,,2.0,,2.0,5.0,5.0,,6.0,,,3.0,6.0,,,,1.0
238,H058,J31,9.84,,4.0,,3.0,6.0,,5.0,5.0,,5.0,,,5.0,6.0,,,5.0,
239,H059,J01,8.24,,5.0,6.0,,,,4.0,4.0,,,,,6.0,6.0,6.0,,,
